customer_id,tier,score,top_reason,emi_amount,expected_loss,action,message,signal_groups,escalated,model_version,thresholds
C001694,Red,0.9286,pressure on cash-flow,35646,33100.88,human_offer,"Hi C001694, based on pressure on cash-flow you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",discipline+behavioral,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C000835,Red,0.8511,pressure on cash-flow,38597,32849.91,human_offer,"Hi C000835, based on pressure on cash-flow you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",liquidity+discipline+borrowing+behavioral,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C000547,Red,0.9286,pressure on cash-flow,35089,32583.65,human_offer,"Hi C000547, based on pressure on cash-flow you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",liquidity+discipline+behavioral,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C000735,Red,1.0,pressure on cash-flow,32442,32442.0,human_offer,"Hi C000735, based on pressure on cash-flow you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",liquidity+discipline+borrowing,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C001059,Red,0.9688,pressure on cash-flow,33369,32327.89,human_offer,"Hi C001059, based on pressure on cash-flow you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",liquidity+discipline,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C001614,Red,1.0,pressure on cash-flow,32025,32025.0,human_offer,"Hi C001614, based on pressure on cash-flow you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",discipline+borrowing,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C000235,Red,1.0,avg_balance_28d=-46939.73,31834,31834.0,human_offer,"Hi C000235, based on avg_balance_28d=-46939.73 you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",discipline+borrowing,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C001853,Red,0.9286,pressure on cash-flow,33678,31273.39,human_offer,"Hi C001853, based on pressure on cash-flow you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",liquidity+discipline+borrowing+behavioral,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C000018,Red,0.9286,avg_balance_28d=28933.58,33480,31089.53,human_offer,"Hi C000018, based on avg_balance_28d=28933.58 you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",liquidity+discipline,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C001450,Red,0.9583,pressure on cash-flow,32112,30772.93,human_offer,"Hi C001450, based on pressure on cash-flow you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",liquidity+discipline,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C000806,Red,1.0,pressure on cash-flow,30762,30762.0,human_offer,"Hi C000806, based on pressure on cash-flow you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",liquidity+discipline+borrowing+behavioral,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C001096,Red,0.9583,pressure on cash-flow,31848,30519.94,human_offer,"Hi C001096, based on pressure on cash-flow you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",discipline+behavioral,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C000389,Red,0.8511,avg_balance_28d=30753.41,35812,30479.59,human_offer,"Hi C000389, based on avg_balance_28d=30753.41 you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",liquidity+discipline,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C001167,Red,1.0,pressure on cash-flow,30093,30093.0,human_offer,"Hi C001167, based on pressure on cash-flow you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",discipline+borrowing,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C001094,Red,1.0,pressure on cash-flow,29828,29828.0,human_offer,"Hi C001094, based on pressure on cash-flow you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",liquidity+discipline+borrowing,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C001312,Red,0.9782,pressure on cash-flow,29731,29082.86,human_offer,"Hi C001312, based on pressure on cash-flow you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",discipline+borrowing,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C001022,Red,1.0,pressure on cash-flow,28306,28306.0,human_offer,"Hi C001022, based on pressure on cash-flow you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",liquidity+discipline,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C000003,Red,1.0,avg_balance_28d=-9562.63,28202,28202.0,human_offer,"Hi C000003, based on avg_balance_28d=-9562.63 you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",liquidity+discipline+borrowing+behavioral,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C000849,Red,0.7342,pressure on cash-flow,37636,27632.35,human_offer,"Hi C000849, based on pressure on cash-flow you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",liquidity+discipline,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C000779,Red,0.7342,pressure on cash-flow,37556,27573.62,human_offer,"Hi C000779, based on pressure on cash-flow you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",liquidity+discipline+borrowing+behavioral,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C001245,Red,1.0,pressure on cash-flow,27457,27457.0,human_offer,"Hi C001245, based on pressure on cash-flow you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",discipline+behavioral,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C001207,Red,0.7342,pressure on cash-flow,36864,27065.55,human_offer,"Hi C001207, based on pressure on cash-flow you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",liquidity+discipline,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C000716,Red,0.9688,pressure on cash-flow,27806,26938.45,human_offer,"Hi C000716, based on pressure on cash-flow you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",discipline+borrowing,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C001710,Red,1.0,pressure on cash-flow,26807,26807.0,human_offer,"Hi C001710, based on pressure on cash-flow you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",discipline+behavioral+cash,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C000241,Red,1.0,avg_balance_28d=15756.54,26792,26792.0,human_offer,"Hi C000241, based on avg_balance_28d=15756.54 you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",discipline+behavioral+cash,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C000102,Red,0.7342,Low 14d balance Rs.55577,36256,26619.16,human_offer,"Hi C000102, based on Low 14d balance Rs.55577 you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",liquidity+discipline,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C001608,Red,1.0,pressure on cash-flow,26541,26541.0,human_offer,"Hi C001608, based on pressure on cash-flow you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",liquidity+discipline,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C000684,Red,1.0,pressure on cash-flow,26501,26501.0,human_offer,"Hi C000684, based on pressure on cash-flow you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",liquidity+discipline+borrowing,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C001473,Red,1.0,pressure on cash-flow,26445,26445.0,human_offer,"Hi C001473, based on pressure on cash-flow you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",liquidity+discipline,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C001753,Red,1.0,pressure on cash-flow,26258,26258.0,human_offer,"Hi C001753, based on pressure on cash-flow you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",discipline+borrowing,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C000859,Red,0.9688,pressure on cash-flow,26035,25222.71,human_offer,"Hi C000859, based on pressure on cash-flow you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",liquidity+discipline+borrowing,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C000922,Red,0.9286,pressure on cash-flow,27107,25171.56,human_offer,"Hi C000922, based on pressure on cash-flow you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",liquidity+discipline+borrowing,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C001197,Red,1.0,pressure on cash-flow,25106,25106.0,human_offer,"Hi C001197, based on pressure on cash-flow you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",liquidity+discipline+borrowing,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C001472,Red,0.6805,pressure on cash-flow,36794,25038.32,human_offer,"Hi C001472, based on pressure on cash-flow you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",discipline+borrowing,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C001173,Red,1.0,pressure on cash-flow,24903,24903.0,human_offer,"Hi C001173, based on pressure on cash-flow you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",liquidity+discipline+borrowing+cash,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C000632,Red,1.0,pressure on cash-flow,23914,23914.0,human_offer,"Hi C000632, based on pressure on cash-flow you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",liquidity+discipline+borrowing,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C000542,Red,0.8511,pressure on cash-flow,28005,23835.06,human_offer,"Hi C000542, based on pressure on cash-flow you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",liquidity+discipline,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C001494,Red,0.619,pressure on cash-flow,37712,23343.73,human_offer,"Hi C001494, based on pressure on cash-flow you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",discipline+behavioral,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C001420,Red,0.9688,pressure on cash-flow,24000,23251.2,human_offer,"Hi C001420, based on pressure on cash-flow you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",discipline+borrowing,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C000380,Red,0.7342,avg_balance_28d=35040.99,31071,22812.33,human_offer,"Hi C000380, based on avg_balance_28d=35040.99 you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",discipline+behavioral,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C000727,Red,0.619,pressure on cash-flow,36506,22597.21,human_offer,"Hi C000727, based on pressure on cash-flow you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",liquidity+discipline,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C001158,Red,0.7342,pressure on cash-flow,30293,22241.12,human_offer,"Hi C001158, based on pressure on cash-flow you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",discipline+behavioral,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C000104,Red,1.0,avg_balance_28d=15401.06,22112,22112.0,human_offer,"Hi C000104, based on avg_balance_28d=15401.06 you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",liquidity+discipline,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C000872,Red,0.9688,pressure on cash-flow,22735,22025.67,human_offer,"Hi C000872, based on pressure on cash-flow you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",discipline+borrowing+behavioral,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C001201,Red,0.9286,pressure on cash-flow,23607,21921.46,human_offer,"Hi C001201, based on pressure on cash-flow you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",discipline+behavioral+cash,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C000239,Red,0.9583,avg_balance_28d=18767.09,22715,21767.78,human_offer,"Hi C000239, based on avg_balance_28d=18767.09 you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",discipline+behavioral+cash,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C000062,Red,0.619,emi_to_income=0.97,34758,21515.2,human_offer,"Hi C000062, based on emi_to_income=0.97 you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",liquidity+discipline+behavioral,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C001787,Red,0.619,pressure on cash-flow,34657,21452.68,human_offer,"Hi C001787, based on pressure on cash-flow you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",liquidity+discipline,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C000601,Red,0.8511,pressure on cash-flow,24390,20758.33,human_offer,"Hi C000601, based on pressure on cash-flow you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",liquidity+discipline+borrowing,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C001214,Red,0.9583,pressure on cash-flow,21652,20749.11,human_offer,"Hi C001214, based on pressure on cash-flow you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",liquidity+discipline+borrowing,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C001714,Red,0.7342,pressure on cash-flow,28146,20664.79,human_offer,"Hi C001714, based on pressure on cash-flow you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",liquidity+discipline+borrowing+behavioral,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C000322,Red,0.9286,avg_balance_28d=36439.10,22003,20431.99,human_offer,"Hi C000322, based on avg_balance_28d=36439.10 you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",liquidity+discipline+behavioral,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
C001836,Red,0.619,pressure on cash-flow,32855,20337.24,human_offer,"Hi C001836, based on pressure on cash-flow you qualify for support BEFORE your EMI is missed. Choose: payment-holiday (1 EMI pause, no late fee), EMI split x2, tenure +3mo restructure. Reply HOLIDAY / SPLIT / RESTRUCTURE.",liquidity+discipline,False,sklearn_hgb,"{""amber_min"": 0.3, ""red_min"": 0.6}"
